X,Y,completeness,is_in_health_zone,amenity,speciality,addr_full,operator,water_source,changeset_id,opening_hours,operational_status,source,emergency,name,wheelchair,url,dispensing,operator_type
-72.25736093,18.60199455,17,,pharmacy,,,,,16677898,,restricted,hot_iom_cosmha,,don de dieu pharmacie,,,,
-72.20273691,18.51649185,13,,hospital,,,,,16677898,,closed,hot_iom_cosmha,,,,,,
-72.69005615,19.4598722,17,,pharmacy,,,,,12396354,,,HOT_IOM,,Pharmacie Soleil,,,no,
-72.17104208,19.72253238,13,,dentist,,,,,16407125,,,survey,,Klinik Dante,,,,
-72.85777711,18.42877733,13,,hospital,,,,,3905927,,,MINUSTAH GIS,,Sante Pep La,,,,
-72.28264955,18.51702075,10,,pharmacy,,,,,13992813,,,,,Pharmacie Saint Antoine,,,,
-72.33353483,19.15398403,10,,hospital,,,,,4177495,,,,,DISPENSAIRE CHENOT,,,,
-74.0405255,18.51519542,10,,hospital,,,,,42663975,,,,,Bon Samaritain des Roseaux,,,,
-71.72076691,19.54977322,17,,pharmacy,,,,,15924810,,,Bing,,Vision Pharma,,,no,
-73.77781855,18.34514429,13,,hospital,,,SOEURS DE ST FRANCOIS D'ASSISE,,42884253,,,,,Cente De Sante De Maniche,,,,
-72.23122607,18.66884015,13,,pharmacy,,,,,39712384,,,Survey-ARC,,,,,yes,
-72.70546678,19.7014731,10,,hospital,,,,,13828313,,,,,Decostiere,,,,
-72.41037584,18.44345186,10,,hospital,,,,,3910148,,,,,CENTRE DE SANTE LAVALE,,,,
-72.67703377,19.43834672,13,,hospital,,,,,33344944,,,hot_cosmha_iom,,dispensaire de la mission lutherienne de la foi,,,,
-72.30585317,18.55252313,10,,hospital,,,,,9407590,,,,,Hospital Grande Rivière du Nord,,,,
-72.23156437,19.16536867,13,,hospital,,,MSPP / SAVE THE CHILDREN,,3987677,,,,,MADAME JOA,,,,
-72.69996565,19.10928125,10,,dentist,,,,,24337243,,,,,Clinique Docteur Jules Cantave,,,,
-72.30192583,18.54287858,10,,hospital,,,,,9415267,,,,,Centre de sante communautaire Ste Justine,,,,
-72.22894963,18.66792342,13,,clinic,,,,,35870920,,,"UAV,IOM,COSMHA,SIGHA",,clinique pharma,,,,
-72.68949682,19.45463259,13,,pharmacy,,,,,33344944,,,hot_cosmha_iom,,pharmacie d'urgence,,,,
,,20,,hospital,,"53 Rue Charéron, Port-au-Prince, Haiti",ARCHEVECHE,,64677287,,,,,Hôpital Saint François de Salle,,,,
-72.33679162,18.53624707,10,,pharmacy,,,,,31491736,,,,,Caripharma,,,,
-72.70102194,19.11033636,10,,pharmacy,,,,,24333316,,,,,,,,Dieu Dirrige mes affaires,
-72.78883704,18.21248692,10,,hospital,,,,,4177495,,,,,Dispensaire Notre Dame de Lourdes,,,,
