Year,Team 1,Score 1,Team 2,Score 2,Round
1991,CHN,4,NOR,0,Group
1991,DEN,3,NZL,0,Group
1991,JPN,0,BRA,1,Group
1991,GER,4,NGA,0,Group
1991,SWE,2,USA,3,Group
1991,TPE,0,ITA,5,Group
1991,NOR,4,NZL,0,Group
1991,CHN,2,DEN,2,Group
1991,JPN,0,SWE,8,Group
1991,ITA,1,NGA,0,Group
1991,BRA,0,USA,5,Group
1991,TPE,0,GER,3,Group
1991,JPN,0,USA,3,Group
1991,CHN,4,NZL,1,Group
1991,BRA,0,SWE,2,Group
1991,NOR,2,DEN,1,Group
1991,TPE,2,NGA,0,Group
1991,ITA,0,GER,1,Group
1991,CHN,0,SWE,1,Quarter Final
1991,USA,7,TPE,0,Quarter Final
1991,DEN,1,GER,2,Quarter Final
1991,NOR,3,ITA,2,Quarter Final
1991,GER,2,USA,5,Semi Final
1991,SWE,1,NOR,4,Semi Final
1991,SWE,4,GER,0,Third Place Playoff
1991,NOR,1,USA,2,Final
1995,GER,1,JPN,0,Group
1995,SWE,0,BRA,1,Group
1995,NOR,8,NGA,0,Group
1995,ENG,3,CAN,2,Group
1995,USA,3,CHN,3,Group
1995,DEN,5,AUS,0,Group
1995,SWE,3,GER,2,Group
1995,BRA,1,JPN,2,Group
1995,NOR,2,ENG,0,Group
1995,NGA,3,CAN,3,Group
1995,USA,2,DEN,0,Group
1995,CHN,4,AUS,2,Group
1995,SWE,2,JPN,0,Group
1995,BRA,1,GER,6,Group
1995,NOR,7,CAN,0,Group
1995,NGA,2,ENG,3,Group
1995,USA,4,AUS,1,Group
1995,CHN,3,DEN,1,Group
1995,JPN,0,USA,4,Quarter Final
1995,NOR,3,DEN,1,Quarter Final
1995,GER,3,ENG,0,Quarter Final
1995,SWE,1,CHN,1,Quarter Final
1995,USA,0,NOR,1,Semi Final
1995,GER,1,CHN,0,Semi Final
1995,CHN,0,USA,2,Third Place Playoff
1995,GER,0,NOR,2,Final
1999,USA,3,DEN,0,Group
1999,CHN,2,SWE,1,Group
1999,BRA,7,MEX,1,Group
1999,JPN,1,CAN,1,Group
1999,NOR,2,RUS,1,Group
1999,AUS,1,GHA,1,Group
1999,GER,1,ITA,1,Group
1999,PRK,1,NGA,2,Group
1999,JPN,0,RUS,5,Group
1999,CHN,7,GHA,0,Group
1999,NOR,7,CAN,1,Group
1999,AUS,1,SWE,3,Group
1999,PRK,3,DEN,1,Group
1999,GER,6,MEX,0,Group
1999,BRA,2,ITA,0,Group
1999,USA,7,NGA,1,Group
1999,CAN,1,RUS,4,Group
1999,CHN,3,AUS,1,Group
1999,GHA,0,SWE,2,Group
1999,NOR,4,JPN,0,Group
1999,MEX,0,ITA,2,Group
1999,GER,3,BRA,3,Group
1999,USA,3,PRK,0,Group
1999,NGA,2,DEN,0,Group
1999,CHN,2,RUS,0,Quarter Final
1999,NOR,3,SWE,1,Quarter Final
1999,USA,3,GER,2,Quarter Final
1999,BRA,4,NGA,3,Quarter Final
1999,NOR,0,CHN,5,Semi Final
1999,USA,2,BRA,0,Semi Final
1999,BRA,0,NOR,0,Third Place Playoff
1999,USA,0,CHN,0,Final
2003,NOR,2,FRA,0,Group
2003,NGA,0,PRK,3,Group
2003,GER,4,CAN,1,Group
2003,JPN,6,ARG,0,Group
2003,USA,3,SWE,1,Group
2003,AUS,1,RUS,2,Group
2003,BRA,3,KOR,0,Group
2003,CHN,1,GHA,0,Group
2003,NOR,1,BRA,4,Group
2003,GER,3,JPN,0,Group
2003,FRA,1,KOR,0,Group
2003,CAN,3,ARG,0,Group
2003,GHA,0,RUS,3,Group
2003,SWE,1,PRK,0,Group
2003,USA,5,NGA,0,Group
2003,CHN,1,AUS,1,Group
2003,KOR,1,NOR,7,Group
2003,CAN,3,JPN,1,Group
2003,FRA,1,BRA,1,Group
2003,ARG,1,GER,6,Group
2003,SWE,3,NGA,0,Group
2003,GHA,2,AUS,1,Group
2003,PRK,0,USA,3,Group
2003,CHN,1,RUS,0,Group
2003,USA,1,NOR,0,Quarter Final
2003,BRA,1,SWE,2,Quarter Final
2003,GER,7,RUS,1,Quarter Final
2003,CHN,0,CAN,1,Quarter Final
2003,USA,0,GER,3,Semi Final
2003,SWE,2,CAN,1,Semi Final
2003,USA,3,CAN,1,Third Place Playoff
2003,GER,2,SWE,1,Final
2007,GER,11,ARG,0,Group
2007,USA,2,PRK,2,Group
2007,JPN,2,ENG,2,Group
2007,NGA,1,SWE,1,Group
2007,GHA,1,AUS,4,Group
2007,NZL,0,BRA,5,Group
2007,NOR,2,CAN,1,Group
2007,CHN,3,DEN,2,Group
2007,ARG,0,JPN,1,Group
2007,SWE,0,USA,2,Group
2007,ENG,0,GER,0,Group
2007,PRK,2,NGA,0,Group
2007,CAN,4,GHA,0,Group
2007,DEN,2,NZL,0,Group
2007,AUS,1,NOR,1,Group
2007,BRA,4,CHN,0,Group
2007,GER,2,JPN,0,Group
2007,ENG,6,ARG,1,Group
2007,NGA,0,USA,1,Group
2007,PRK,1,SWE,2,Group
2007,NOR,7,GHA,2,Group
2007,AUS,2,CAN,2,Group
2007,CHN,2,NZL,0,Group
2007,BRA,1,DEN,0,Group
2007,GER,3,PRK,0,Quarter Final
2007,USA,3,ENG,0,Quarter Final
2007,NOR,1,CHN,0,Quarter Final
2007,BRA,3,AUS,2,Quarter Final
2007,GER,3,NOR,0,Semi Final
2007,USA,0,BRA,4,Semi Final
2007,NOR,1,USA,4,Third Place Playoff
2007,GER,2,BRA,0,Final
2011,NGA,0,FRA,1,Group
2011,GER,2,CAN,1,Group
2011,JPN,2,NZL,1,Group
2011,MEX,1,ENG,1,Group
2011,COL,0,SWE,1,Group
2011,USA,2,PRK,0,Group
2011,NOR,1,EQG,0,Group
2011,BRA,1,AUS,0,Group
2011,CAN,0,FRA,4,Group
2011,GER,1,NGA,0,Group
2011,JPN,4,MEX,0,Group
2011,NZL,1,ENG,2,Group
2011,PRK,0,SWE,1,Group
2011,USA,3,COL,0,Group
2011,AUS,3,EQG,2,Group
2011,BRA,3,NOR,0,Group
2011,ENG,2,JPN,0,Group
2011,NZL,2,MEX,2,Group
2011,FRA,2,GER,4,Group
2011,CAN,0,NGA,1,Group
2011,EQG,0,BRA,3,Group
2011,AUS,2,NOR,1,Group
2011,SWE,2,USA,1,Group
2011,PRK,0,COL,0,Group
2011,ENG,1,FRA,1,Quarter Final
2011,GER,0,JPN,1,Quarter Final
2011,SWE,3,AUS,1,Quarter Final
2011,BRA,2,USA,2,Quarter Final
2011,FRA,1,USA,3,Semi Final
2011,JPN,3,SWE,1,Semi Final
2011,SWE,2,FRA,1,Third Place Playoff
2011,JPN,2,USA,2,Final
2015,CAN,1,CHN,1,Group
2015,NZL,0,NED,2,Group
2015,NOR,4,THA,0,Group
2015,GER,10,CIV,0,Group
2015,SWE,3,NGA,3,Group
2015,CMR,6,ECU,0,Group
